TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,CHARACTER_SET_NAME,COLLATION_NAME,IS_NULLABLE,EXTRA,COLUMN_KEY,CONSTRAINT_NAME,FK_Table,FK_Column
"__EFMigrationsHistory","MigrationId","varchar","varchar(150)","utf8mb4","utf8mb4_bin","NO","","PRI","PRIMARY","",""
"__EFMigrationsHistory","ProductVersion","varchar","varchar(32)","utf8mb4","utf8mb4_bin","NO","","","","",""
"attendances","id","bigint","bigint","","","NO","","PRI","PRIMARY","",""
"attendances","session_id","int","int","","","NO","","MUL","","",""
"attendances","student_id","int","int","","","NO","","MUL","","",""
"attendances","status","varchar","varchar(20)","utf8mb4","utf8mb4_bin","NO","","","","",""
"attendances","checkin_at","datetime","datetime","","","YES","","","","",""
"attendances","checkout_at","datetime","datetime","","","YES","","","","",""
"attendances","picked_up_by","varchar","varchar(255)","utf8mb4","utf8mb4_bin","YES","","","","",""
"attendances","institute_id","int","int","","","NO","","MUL","","",""
"badges","id","int","int","","","NO","auto_increment","PRI","PRIMARY","",""
"badges","institute_id","int","int","","","NO","","MUL","uq_badges_key","",""
"badges","institute_id","int","int","","","NO","","MUL","fk_1","institutes","id"
"badges","badge_key","varchar","varchar(100)","utf8mb4","utf8mb4_bin","NO","","","uq_badges_key","",""
"badges","name","varchar","varchar(255)","utf8mb4","utf8mb4_bin","NO","","","","",""
"badges","description","text","text","utf8mb4","utf8mb4_bin","YES","","","","",""
"badges","icon_url","varchar","varchar(1000)","utf8mb4","utf8mb4_bin","YES","","","","",""
"badges","criteria_type","varchar","varchar(50)","utf8mb4","utf8mb4_bin","NO","","","","",""
"badges","criteria_value","int","int","","","NO","","","","",""
"badges","is_active","tinyint","tinyint(1)","","","NO","","","","",""
"courses","id","int","int","","","NO","auto_increment","PRI","PRIMARY","",""
"courses","institute_id","int","int","","","NO","","MUL","fk_courses_institute","institutes","id"
"courses","course_type","enum","enum('group','private','subscription','video','credit')","utf8mb4","utf8mb4_bin","YES","","","","",""
"courses","name","varchar","varchar(255)","utf8mb4","utf8mb4_bin","NO","","","","",""
"courses","subject","varchar","varchar(100)","utf8mb4","utf8mb4_bin","YES","","","","",""
"courses","total_sessions","int","int","","","YES","","","","",""
"courses","price","decimal","decimal(10,2)","","","NO","","","","",""
"courses","teacher_id","int","int","","","YES","","","fk_1","teachers","id"
"courses","created_at","timestamp","timestamp","","","YES","","","","",""
"courses","deleted_at","datetime","datetime","","","YES","","","","",""
"courses","created_by","int","int","","","YES","","","","",""
"courses","updated_by","int","int","","","YES","","","","",""
"courses","capacity_limit","int","int","","","YES","","","","",""
"courses","status","enum","enum('draft','published','archived')","utf8mb4","utf8mb4_bin","YES","","","","",""
"courses","expires_in_days","int","int","","","YES","","","","",""
"courses","require_computer","tinyint","tinyint(1)","","","YES","","","","",""
"courses","credit_cost","int","int","","","YES","","","","",""
"enrollments","id","int","int","","","NO","auto_increment","PRI","PRIMARY","",""
"enrollments","student_id","int","int","","","NO","","MUL","uq_enrollment_student_course","",""
"enrollments","student_id","int","int","","","NO","","MUL","fk_1","students","id"
"enrollments","course_id","int","int","","","NO","","","fk_2","courses","id"
"enrollments","course_id","int","int","","","NO","","","uq_enrollment_student_course","",""
"enrollments","sessions_remaining","int","int","","","NO","","","","",""
"enrollments","paid_amount","decimal","decimal(10,2)","","","YES","","","","",""
"enrollments","expires_at","date","date","","","YES","","","","",""
"enrollments","created_at","timestamp","timestamp","","","YES","","","","",""
"enrollments","institute_id","int","int","","","NO","","MUL","uq_enrollment_student_course","",""
"homework_submissions","id","bigint","bigint","","","NO","","PRI","PRIMARY","",""
"homework_submissions","homework_id","int","int","","","NO","","MUL","","",""
"homework_submissions","student_id","int","int","","","NO","","MUL","","",""
"homework_submissions","institute_id","int","int","","","NO","","MUL","","",""
"homework_submissions","submitted_at","datetime","datetime","","","YES","","","","",""
"homework_submissions","file_url","varchar","varchar(255)","utf8mb4","utf8mb4_bin","YES","","","","",""
"homework_submissions","score","decimal","decimal(5,2)","","","YES","","","","",""
"homework_submissions","feedback","text","text","utf8mb4","utf8mb4_bin","YES","","","","",""
"homework_submissions","created_at","datetime","datetime","","","NO","","","","",""
"homework_submissions_old","id","bigint","bigint","","","NO","","PRI","PRIMARY","",""
"homework_submissions_old","homework_id","int","int","","","NO","","MUL","","",""
"homework_submissions_old","student_id","int","int","","","NO","","MUL","","",""
"homework_submissions_old","institute_id","int","int","","","NO","","MUL","","",""
"homework_submissions_old","submitted_at","datetime","datetime","","","YES","","","","",""
